Indent level,ID,Name,Data type,Repeatable,Description,Legal Status,Level,Element,2019 form,2015 form
++,BT-31,Lots Max Allowed,Number,No,The maximum number of lots for which one tenderer can submit tenders.,O,IV.1.1.3.1,Accelerated procedure Justification:,13,22
++,BT-763,Lots All Required,Indicator,No,The tenderer must submit tenders for all lots.,O,II.1.6.2.2,maximum number of lots,13,22
++,BT-763,Lots All Required,Indicator,No,The tenderer must submit tenders for all lots.,O,II.1.6.2.3,one lot only,13,22
++,BT-33,Lots Max Awarded,Number,No,The maximum number of lots for which contract(s) can be awarded to one tenderer.,O,II.1.6.3,Maximum number of lots that may be awarded to one tenderer,13,22
+++,BT-330,Group Identifier,Identifier,No,The identifier of a group of lots in the procedure.,O,new term overall,,13,22
+++,BT-1375,Group Lot Identifier,Identifier,Yes,An identifier of several lots within this procedure. These lots form a group of lots for which one tender can be submitted and evaluated.,O,new term overall,,13,22
+++,BT-1376,Second Stage Lot Identifier,Identifier,Yes,An identifier of one or more lots. The information in the second stage section refers to this lot or these lots.,CM,new term,,13,22
+++,BT-50,Minimum Candidates,Number,No,The minimum number of candidates to be invited for the second stage of the procedure.,O,new term,,13,22
+++,BT-661,Maximum Candidates Indicator,Indicator,No,There is a maximum number of candidates to be invited for the second stage of the procedure.,O,new term overall,,13,22
+++,BT-51,Maximum Candidates Number,Number,No,The maximum number of candidates to be invited for the second stage of the procedure.,O,new term,,13,22
+++,BT-52,Successive Reduction,Indicator,No,"The procedure will take place in successive stages. In each stage, some participants may be eliminated.",O,new term,,13,22
++,BT-67,Exclusion Grounds,Text,No,"The brief description of criteria regarding the personal situation of tenderers that may lead to their exclusion. This must include a list of all such criteria and indicate required information (e.g. self-declaration, documentation). This can also include specific national exclusion grounds.",O,new term,,13,22
++,BT-1378,Selection Lot Identifier,Identifier,Yes,An identifier of one or more lots. The information in the selection criteria section refers to this lot or these lots.,CM,new term overall,,13,22
++,BT-747,Selection Criteria Type,Code,No,"The criteria (or criterion) concern(s), for example, economic and financial standing or technical and professional ability. ",M,III.2.1.1,Execution of the service is reserved to a particular profession,13,22
++,BT-748,Selection Criteria Used,Code,No,"The criteria (or criterion) of the given type are (is) used, unused, or (in case of prior information notice used as a call for competition or to reduce time limits) the use is not yet known.",M,new term overall,,13,22
++,BT-749,Selection Criteria Name,Text,No,The name of the selection criteria (or criterion).,O,III.1.4.1,List and brief description of rules and criteria:,13,22
++,BT-750,Selection Criteria Description,Text,No,"The brief description of the selection criteria (or criterion), including minimum requirements, required information (e.g. self-declaration, documentation) and how the criteria or criterion will be used to select candidates to be invited for the second stage of the procedure (if a maximum number of candidates was set).",CM,III.1.4.1,List and brief description of rules and criteria:,13,22
++,BT-40,Selection Criteria Second Stage Invite,Indicator,No,The criteria (or criterion) will (only) be used to select the candidates to be invited for the second stage of the procedure (if a maximum number of candidates was set).,O,new term overall,,13,22
+++,BT-752,Selection Criteria Second Stage Invite Number,Number,No,A number linked to the selection criteria (or criterion).,O,new term overall,,13,22
+++,BT-7531,Selection Criteria Second Stage Invite Number Weight,Code,No,Whether the number linked to a selection criterion (or selection criteria) is a type of weight (e.g. a percentage).,O,new term overall,,13,22
+++,BT-7532,Selection Criteria Second Stage Invite Number Threshold,Code,No,"Whether the number linked to a selection criterion (or selection criteria) is a type of threshold (e.g. a minimum score, a maximum number of tenders with the highest score passing).",O,new term overall,,13,22
++,BT-1379,Requirements Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the other requirements section refer this lot (or part) or these lots (or parts).",CM,new term overall,,13,22
++,BT-71,Reserved Participation,Code,Yes,"Whether participation is reserved for specific organisations (e.g. sheltered workshops, organisations pursuing a public service mission).",M,III.1.5.1,"The contract is reserved to sheltered workshops and economic operators aiming at the social and professional integration of disabled or disadvantaged persons; (Only in the case of contracts for certain health, social and culture services covered by Article 77 of Directive 2014/24/EU)",13,22
++,BT-71,Reserved Participation,Code,Yes,"Whether participation is reserved for specific organisations (e.g. sheltered workshops, organisations pursuing a public service mission).",M,III.1.5.3,Participation in the procedure is reserved to organisations pursuing a public service mission and fulfilling the conditions set in Article 77(2) of Directive 2014/24/EU,13,22
++,BT-79,Performing Staff Qualification,Code,No,Whether the names and professional qualifications of the staff assigned to perform the contract must be given.,O,III.2.3,Information about staff responsible for the performance of the contract,13,22
++,BT-578,Security Clearance,Indicator,No,A security clearance is required.,O,new term overall,,13,22
++,BT-78,Security Clearance Deadline,Date,No,The time limit by which tenderers who do not hold a security clearance may obtain it.,O,new term,,13,22
++,BT-732,Security Clearance Description,Text,No,"Additional information about the security clearance (e.g. which level of security clearance is required, which team members must have it, whether it is necessary already for accessing the procurement documents or only for contract execution).",O,new term overall,,13,22
