Indent level,ID,Name,Data type,Repeatable,Description,Legal Status,Level,Element,eformsNotice,sfNotice
++,BT-15,    Documents URL,URL,No,"The internet address for accessing (the non-restricted part of) the procurement documents. For all notices except prior information notices, the address must give access that is direct (i.e. the exact webpage with the documents, not a general website), unrestricted (e.g. no registration), full (i.e. the procurement documents must be complete) and free of charge and the documents must be available already at the time of the publication of the notice.",CM,I.3.1,"The procurement documents are available for unrestricted and full direct access, free of charge, at: (URL)",19,24
++,BT-708,    Documents Official Language,Code,Yes,The language(s) in which the procurement documents are officially available. These linguistic versions are equally legally valid.,O,new term overall,,19,24
++,BT-737,    Documents Unofficial Language,Code,Yes,"The language(s) in which the procurement documents (or their parts) are unofficially available. These linguistic versions are not an official translation, they are provided only for information.",O,new term overall,,19,24
++,BT-14,    Documents Restricted,Indicator,No,The access to certain procurement documents is restricted.,M,new term,,19,24
++,BT-707,    Documents Restricted Justification,Code,No,The justification for restricting access to certain procurement documents.,O,new term overall,,19,24
++,BT-615,    Documents Restricted URL,URL,No,The internet address with information on accessing the restricted (part of the) procurement documents.,CM,I.3.2,Access to the procurement documents is restricted. Further information can be obtained at (URL),19,24
++,BT-13,    Additional Information Deadline,Date,No,The time limit for requesting additional information about the procurement procedure.,O,new term,,19,24
+,BG-102,Submission Terms,-,Yes,"Information about submission terms of the tender, request to participate, or expression of interest. This information may differ per lot.",M,---,,19,24
++,BT-13719,    Submission Lot Identifier,Identifier,Yes,An identifier of one or more lots. The information in the submission terms section refers to this lot or these lots.,CM,new term,,19,24
++,BT-17,    Submission Electronic,Code,No,"Whether economic operators are required, allowed or not allowed to submit tenders, requests to participate, or expressions of interest electronically.",O,I.3.4.1,electronically via: (URL),19,24
++,BT-19,    Submission Nonelectronic Justification,Code,No,"The justification for electronic submission of tenders, requests to participate, or expressions of interest not being possible.",O,new term overall,,19,24
++,BT-745,    Submission Nonelectronic Description,Text,No,"The description of how to submit tenders, requests to participate, or expressions of interest non-electronically.",O,new term overall,,19,24
++,BT-18,    Submission URL,URL,No,"The internet address for submission of tenders, requests to participate, or expressions of interest by electronic means. The address should be as direct as possible (ideally a dedicated address for the electronic submission, not just a general website).",O,I.3.4.1.1,To the abovementioned address,19,24
++,BT-18,    Submission URL,URL,No,"The internet address for submission of tenders, requests to participate, or expressions of interest by electronic means. The address should be as direct as possible (ideally a dedicated address for the electronic submission, not just a general website).",O,I.3.4.1.2,To the following address (please provide another address),19,24
++,BT-97,    Submission Language,Code,Yes,"A language in which tenders, requests to participate, or expressions of interest may be submitted.",M,IV.2.4,Languages in which tenders or requests to participate may be submitted,19,24
++,BT-744,    Submission Electronic Signature,Indicator,No,Advanced or qualified electronic signature or seal (as defined in Regulation (EU) No 910/2014) is required.,O,new term overall,,19,24
++,BT-63,    Variants,Code,No,"Whether tenderers are required, allowed or not allowed to submit tenders which fulfil the buyer's needs differently than as proposed in the procurement documents. Further conditions for submitting variant tenders are in the procurement documents.",O,new term,,19,24
++,BT-769,    Multiple Tenders,Indicator,No,Tenderers may submit more than one tender (for a given lot).,O,new term overall,,19,24
++,BT-1311,    Deadline Receipt Requests,Date,No,The time limit for receipt of requests to participate.,CM,new term,,19,24
++,BT-131,    Deadline Receipt Tenders,Date,No,The time limit for receipt of tenders.,CM,IV.2.2,Time limit for submission of applications or receipt of tenders,19,24
++,BT-751,    Guarantee Required,Indicator,No,A guarantee is required.,O,new term,,19,24
++,BT-75,    Guarantee Required Description,Text,No,"The description of the financial guarantee required from the tenderer when submitting a tender. The guarantee can take the form of, for example, a payment to the buyer or a document from a bank. Typically, the guarantee would be forfeit when a tenderer has won the contract but then refused to sign it.",O,new term,,19,24
++,BT-771,    Late Tenderer Information,Code,No,Whether tenderer-related information can be supplemented even after the submission deadline.,O,new term overall,,19,24
++,BT-772,    Late Tenderer Information Description,Text,No,Description of the tenderer-related information that can be supplemented even after the submission deadline.,O,new term overall,,19,24
+,BG-713,Strategic Procurement,-,Yes,Information about strategic procurement. This information may differ per section of the notice.,O,---,,19,24
++,BT-13721,    Strategic Procurement Notice Section Identifier,Identifier,Yes,An identifier of one or more sections within this notice. The information in the strategic procurement section refers to this section or these sections.,CM,new term overall,,19,24
++,BT-06,    Strategic Procurement,Code,Yes,"Use of a technical specification, selection criterion, award criterion, or contract performance condition aims to reduce the environmental impacts of the procurement, fulfil social objectives and/or buy an innovative work, supply or service.",O,new term overall,,19,24
++,BT-777,    Strategic Procurement Description,Text,Yes,"Description of the use of a technical specification, selection criterion, award criterion, or contract performance condition aims to reduce the environmental impacts of the procurement, fulfil social objectives and/or buy an innovative work, supply or service.",O,new term overall,,19,24
